Threshold,False Positive Rate (x),True Positive Rate (y)
0.567000,0.081014,0.874533
0.568000,0.080598,0.874533
0.569000,0.080183,0.873286
0.570000,0.080183,0.873286
0.571000,0.079767,0.873286
0.572000,0.078936,0.872871
0.573000,0.078936,0.872871
0.574000,0.078936,0.871624
0.575000,0.078521,0.870378
0.576000,0.077690,0.869963
0.577000,0.077690,0.869963
0.578000,0.077690,0.869132
0.579000,0.077275,0.869132
0.580000,0.077275,0.868716
0.581000,0.076859,0.868716
0.582000,0.076444,0.868716
0.583000,0.076444,0.867885
0.584000,0.076028,0.867054
0.585000,0.076028,0.867054
0.586000,0.076028,0.867054
0.587000,0.076028,0.866224
0.588000,0.076028,0.866224
0.589000,0.076028,0.866224
0.590000,0.075613,0.866224
0.591000,0.075197,0.866224
0.592000,0.075197,0.865808
0.593000,0.074782,0.865393
0.594000,0.074782,0.865393
0.595000,0.074782,0.864977
0.596000,0.074782,0.864562
0.597000,0.073536,0.864146
0.598000,0.073536,0.863315
0.599000,0.072705,0.862069
0.600000,0.072289,0.861654
0.601000,0.071874,0.861654
0.602000,0.071458,0.861238
0.603000,0.071043,0.861238
0.604000,0.070627,0.860407
0.605000,0.069796,0.860407
0.606000,0.069796,0.860407
0.607000,0.069796,0.859576
0.608000,0.069796,0.859576
0.609000,0.069381,0.859576
0.610000,0.069381,0.859161
0.611000,0.069381,0.859161
0.612000,0.069381,0.859161
0.613000,0.069381,0.859161
0.614000,0.069381,0.858330
0.615000,0.069381,0.858330
0.616000,0.068966,0.857914
0.617000,0.068966,0.857499
0.618000,0.068966,0.856668
0.619000,0.068550,0.855422
0.620000,0.067719,0.855006
0.621000,0.067304,0.854591
0.622000,0.066888,0.853760
0.623000,0.066473,0.852514
0.624000,0.066057,0.852514
0.625000,0.066057,0.851683
0.626000,0.066057,0.851683
0.627000,0.065642,0.851683
0.628000,0.065642,0.851683
0.629000,0.065226,0.850436
0.630000,0.065226,0.850436
0.631000,0.065226,0.849605
0.632000,0.065226,0.849190
0.633000,0.065226,0.847943
0.634000,0.064811,0.847943
0.635000,0.064396,0.847943
0.636000,0.063565,0.847528
0.637000,0.063149,0.847113
0.638000,0.062734,0.847113
0.639000,0.062734,0.846697
0.640000,0.062318,0.846697
0.641000,0.061487,0.845451
0.642000,0.061487,0.843789
0.643000,0.061487,0.843789
0.644000,0.061487,0.843373
0.645000,0.061487,0.843373
0.646000,0.061072,0.842958
0.647000,0.061072,0.842127
0.648000,0.060656,0.841712
0.649000,0.060656,0.840465
0.650000,0.060656,0.840465
0.651000,0.059826,0.840050
0.652000,0.059410,0.840050
0.653000,0.058995,0.839634
0.654000,0.058995,0.839219
0.655000,0.058579,0.839219
0.656000,0.057748,0.839219
0.657000,0.057748,0.838388
0.658000,0.057333,0.837973
0.659000,0.056917,0.837557
0.660000,0.056502,0.837142
0.661000,0.056502,0.837142
0.662000,0.056502,0.835895
0.663000,0.056502,0.835480
0.664000,0.056086,0.834233
0.665000,0.056086,0.833818
0.666000,0.055256,0.833818
0.667000,0.055256,0.833403
0.668000,0.054840,0.832572
0.669000,0.054009,0.832572
0.670000,0.054009,0.832156
0.671000,0.053594,0.831741
0.672000,0.053594,0.831325
0.673000,0.053594,0.830494
0.674000,0.053594,0.829248
0.675000,0.053594,0.828002
0.676000,0.052763,0.827586
0.677000,0.052763,0.827586
0.678000,0.052763,0.827586
0.679000,0.052763,0.826340
0.680000,0.052763,0.825924
0.681000,0.052763,0.825509
0.682000,0.052763,0.825509
0.683000,0.052763,0.825093
0.684000,0.052347,0.824678
0.685000,0.052347,0.824678
0.686000,0.052347,0.824678
0.687000,0.051932,0.824263
0.688000,0.051516,0.823432
0.689000,0.051516,0.823016
0.690000,0.051516,0.822601
0.691000,0.051516,0.821770
0.692000,0.051101,0.821770
0.693000,0.051101,0.821354
0.694000,0.051101,0.820523
0.695000,0.050686,0.820523
0.696000,0.050686,0.820108
0.697000,0.050270,0.818862
0.698000,0.050270,0.818862
0.699000,0.050270,0.818862
0.700000,0.050270,0.817615
0.701000,0.050270,0.816784
0.702000,0.050270,0.815953
0.703000,0.050270,0.815953
0.704000,0.050270,0.815953
0.705000,0.050270,0.814707
0.706000,0.050270,0.814292
0.707000,0.049439,0.814292
0.708000,0.049439,0.813461
0.709000,0.049024,0.813045
0.710000,0.048608,0.813045
0.711000,0.047777,0.812214
0.712000,0.047362,0.811383
0.713000,0.046946,0.810968
0.714000,0.046946,0.810553
0.715000,0.046946,0.809306
0.716000,0.046946,0.808891
0.717000,0.046946,0.808891
0.718000,0.046946,0.808891
0.719000,0.046531,0.808060
0.720000,0.046531,0.807644
0.721000,0.046531,0.806813
