Epoch,Train MSE,Validation MSE,Train Accuracy,Validation Accuracy,Train Log Loss,Validation Log Loss,Train R²,Validation R²
16900,0.209174,0.216894,0.591286,0.575465,1.182729,1.217990,0.405544,0.363907
17000,0.208977,0.216745,0.591286,0.575948,1.181614,1.217077,0.406535,0.364727
17100,0.208786,0.216601,0.593361,0.576599,1.180527,1.216192,0.407493,0.365512
17200,0.208600,0.216463,0.595436,0.576745,1.179466,1.215331,0.408420,0.366267
17300,0.208419,0.216330,0.591286,0.577144,1.178432,1.214494,0.409317,0.366996
17400,0.208243,0.216200,0.587137,0.577585,1.177424,1.213678,0.410186,0.367700
17500,0.208073,0.216075,0.585062,0.577816,1.176442,1.212881,0.411028,0.368384
17600,0.207907,0.215952,0.585062,0.577942,1.175486,1.212102,0.411843,0.369049
17700,0.207746,0.215833,0.585062,0.578278,1.174555,1.211341,0.412632,0.369697
17800,0.207590,0.215716,0.587137,0.578803,1.173650,1.210595,0.413395,0.370330
17900,0.207439,0.215601,0.582988,0.578551,1.172771,1.209864,0.414133,0.370949
18000,0.207293,0.215489,0.589212,0.578719,1.171917,1.209147,0.414845,0.371555
18100,0.207151,0.215378,0.593361,0.579076,1.171089,1.208444,0.415533,0.372149
18200,0.207014,0.215270,0.591286,0.579432,1.170284,1.207753,0.416197,0.372735
18300,0.206882,0.215162,0.593361,0.578698,1.169504,1.207074,0.416839,0.373312
18400,0.206753,0.215056,0.593361,0.578908,1.168746,1.206404,0.417459,0.373882
18500,0.206629,0.214950,0.591286,0.578803,1.168010,1.205743,0.418059,0.374447
18600,0.206509,0.214845,0.593361,0.578215,1.167296,1.205091,0.418639,0.375008
18700,0.206392,0.214740,0.591286,0.578152,1.166602,1.204446,0.419201,0.375566
18800,0.206279,0.214636,0.591286,0.578698,1.165928,1.203809,0.419746,0.376121
18900,0.206169,0.214532,0.597510,0.578761,1.165273,1.203177,0.420273,0.376673
19000,0.206062,0.214428,0.599585,0.578719,1.164636,1.202552,0.420785,0.377224
19100,0.205959,0.214325,0.599585,0.578929,1.164016,1.201934,0.421281,0.377772
19200,0.205858,0.214222,0.597510,0.578740,1.163412,1.201322,0.421762,0.378317
19300,0.205760,0.214119,0.593361,0.578719,1.162824,1.200717,0.422228,0.378857
19400,0.205665,0.214018,0.593361,0.578341,1.162250,1.200122,0.422681,0.379390
19500,0.205573,0.213919,0.593361,0.578614,1.161689,1.199537,0.423119,0.379913
19600,0.205483,0.213822,0.595436,0.579034,1.161141,1.198965,0.423545,0.380423
19700,0.205395,0.213728,0.599585,0.579663,1.160602,1.198409,0.423958,0.380915
19800,0.205309,0.213638,0.605809,0.580482,1.160071,1.197872,0.424361,0.381386
19900,0.205224,0.213553,0.599585,0.580986,1.159546,1.197353,0.424755,0.381834
20000,0.205140,0.213472,0.605809,0.581846,1.159025,1.196854,0.425143,0.382258
20100,0.205056,0.213395,0.605809,0.582476,1.158506,1.196371,0.425527,0.382662
20200,0.204973,0.213321,0.603734,0.582980,1.157989,1.195902,0.425908,0.383050
20300,0.204890,0.213249,0.607884,0.584218,1.157473,1.195443,0.426288,0.383427
20400,0.204807,0.213178,0.607884,0.584827,1.156958,1.194989,0.426669,0.383799
20500,0.204723,0.213107,0.607884,0.584932,1.156443,1.194539,0.427053,0.384170
20600,0.204639,0.213036,0.609959,0.584743,1.155927,1.194090,0.427439,0.384542
20700,0.204554,0.212964,0.612033,0.584617,1.155411,1.193639,0.427830,0.384917
20800,0.204468,0.212891,0.616183,0.584995,1.154893,1.193186,0.428227,0.385298
20900,0.204380,0.212816,0.616183,0.585331,1.154371,1.192730,0.428631,0.385687
21000,0.204291,0.212740,0.616183,0.585709,1.153846,1.192268,0.429043,0.386083
21100,0.204200,0.212662,0.618257,0.585625,1.153315,1.191801,0.429466,0.386488
21200,0.204107,0.212582,0.618257,0.585163,1.152777,1.191330,0.429899,0.386901
21300,0.204011,0.212505,0.624481,0.585793,1.152228,1.190866,0.430345,0.387304
21400,0.203913,0.212453,0.624481,0.586276,1.151660,1.190502,0.430791,0.387576
21500,0.203861,0.212711,0.601660,0.585562,1.151167,1.191343,0.430885,0.386300
21600,0.204532,0.214368,0.589212,0.577375,1.153337,1.197924,0.426993,0.378375
21700,0.203877,0.213166,0.591286,0.582098,1.150771,1.192883,0.430521,0.384124
21800,0.203645,0.212768,0.595436,0.584093,1.149755,1.191142,0.431750,0.386086
21900,0.203593,0.212846,0.601660,0.583274,1.149357,1.191319,0.431915,0.385735
22000,0.203611,0.213063,0.597510,0.582770,1.149222,1.192072,0.431691,0.384723
22100,0.203500,0.212981,0.601660,0.583148,1.148635,1.191614,0.432200,0.385154
22200,0.203372,0.212871,0.597510,0.583694,1.147981,1.191042,0.432802,0.385718
22300,0.203287,0.212858,0.597510,0.585289,1.147482,1.190869,0.433159,0.385821
22400,0.203193,0.212830,0.601660,0.587472,1.146956,1.190635,0.433558,0.385999
22500,0.203084,0.212774,0.599585,0.589718,1.146370,1.190286,0.434041,0.386313
22600,0.202972,0.212718,0.601660,0.592552,1.145776,1.189941,0.434528,0.386626
22700,0.202855,0.212655,0.605809,0.594651,1.145161,1.189566,0.435042,0.386976
22800,0.202730,0.212580,0.609959,0.596813,1.144514,1.189144,0.435593,0.387381
22900,0.202598,0.212495,0.605809,0.598976,1.143837,1.188676,0.436180,0.387840
23000,0.202457,0.212398,0.612033,0.600844,1.143125,1.188156,0.436806,0.388359
23100,0.202307,0.212287,0.612033,0.602691,1.142375,1.187579,0.437474,0.388942
23200,0.202147,0.212162,0.620332,0.604811,1.141586,1.186939,0.438187,0.389593
23300,0.201978,0.212023,0.616183,0.607036,1.140755,1.186235,0.438945,0.390315
23400,0.201799,0.211868,0.622407,0.608527,1.139880,1.185462,0.439751,0.391109
23500,0.201610,0.211697,0.628631,0.610479,1.138961,1.184620,0.440605,0.391977
23600,0.201410,0.211511,0.626556,0.613019,1.137998,1.183708,0.441506,0.392918
23700,0.201200,0.211310,0.628631,0.613019,1.136991,1.182727,0.442455,0.393929
23800,0.200980,0.211094,0.626556,0.612326,1.135942,1.181679,0.443450,0.395008
23900,0.200751,0.210864,0.626556,0.611277,1.134852,1.180569,0.444490,0.396150
24000,0.200512,0.210622,0.626556,0.609891,1.133726,1.179402,0.445573,0.397349
24100,0.200265,0.210368,0.626556,0.608905,1.132567,1.178182,0.446695,0.398600
24200,0.200010,0.210104,0.630705,0.607624,1.131380,1.176918,0.447853,0.399895
24300,0.199748,0.209831,0.632780,0.606512,1.130169,1.175615,0.449042,0.401230
24400,0.199480,0.209550,0.634855,0.606197,1.128938,1.174279,0.450259,0.402598
24500,0.199207,0.209262,0.636929,0.605693,1.127690,1.172915,0.451497,0.403994
24600,0.198930,0.208969,0.636929,0.604958,1.126429,1.171526,0.452754,0.405416
24700,0.198650,0.208669,0.639004,0.604769,1.125154,1.170111,0.454027,0.406863
24800,0.198366,0.208362,0.636929,0.604622,1.123867,1.168671,0.455314,0.408336
24900,0.198078,0.208048,0.636929,0.604601,1.122566,1.167199,0.456617,0.409841
25000,0.197787,0.207725,0.641079,0.604622,1.121247,1.165689,0.457939,0.411385
25100,0.197491,0.207391,0.643154,0.604559,1.119907,1.164130,0.459285,0.412980
25200,0.197188,0.207041,0.643154,0.604727,1.118542,1.162513,0.460659,0.414637
25300,0.196881,0.206677,0.643154,0.605231,1.117154,1.160834,0.462062,0.416361
25400,0.196570,0.206303,0.647303,0.606050,1.115752,1.159115,0.463482,0.418131
25500,0.196262,0.205934,0.649378,0.606784,1.114357,1.157423,0.464889,0.419873
25600,0.195966,0.205602,0.651452,0.608086,1.113005,1.155893,0.466226,0.421436
25700,0.195696,0.205356,0.651452,0.609492,1.111744,1.154721,0.467409,0.422601
25800,0.195467,0.205229,0.655602,0.611403,1.110622,1.154044,0.468363,0.423210
25900,0.195256,0.205154,0.663900,0.612683,1.109556,1.153578,0.469209,0.423583
26000,0.195000,0.204990,0.659751,0.614111,1.108303,1.152721,0.470279,0.424369
26100,0.194696,0.204739,0.661826,0.615580,1.106846,1.151480,0.471585,0.425551
26200,0.194370,0.204457,0.659751,0.616693,1.105290,1.150097,0.472991,0.426869
26300,0.194028,0.204155,0.663900,0.618099,1.103662,1.148612,0.474471,0.428279
26400,0.193670,0.203831,0.663900,0.619338,1.101971,1.147024,0.476022,0.429782
26500,0.193301,0.203491,0.661826,0.619967,1.100238,1.145355,0.477628,0.431357
26600,0.192922,0.203137,0.659751,0.620324,1.098483,1.143622,0.479276,0.432986
26700,0.192537,0.202771,0.651452,0.621836,1.096725,1.141836,0.480952,0.434663
26800,0.192150,0.202395,0.647303,0.623578,1.094981,1.140003,0.482638,0.436385
26900,0.191768,0.202011,0.651452,0.623725,1.093276,1.138139,0.484305,0.438134
27000,0.191400,0.201632,0.649378,0.623389,1.091641,1.136299,0.485905,0.439856
27100,0.191055,0.201282,0.659751,0.624103,1.090099,1.134586,0.487393,0.441443
27200,0.190733,0.200989,0.659751,0.624355,1.088645,1.133125,0.488759,0.442770
27300,0.190426,0.200758,0.655602,0.625341,1.087243,1.131943,0.490035,0.443812
27400,0.190129,0.200567,0.653527,0.626286,1.085870,1.130943,0.491256,0.444671
27500,0.189840,0.200392,0.659751,0.627230,1.084524,1.130016,0.492435,0.445458
27600,0.189558,0.200223,0.659751,0.628091,1.083204,1.129117,0.493577,0.446217
27700,0.189284,0.200058,0.661826,0.629351,1.081910,1.128237,0.494685,0.446958
27800,0.189017,0.199897,0.661826,0.630337,1.080642,1.127373,0.495759,0.447682
27900,0.188756,0.199738,0.663900,0.631093,1.079398,1.126523,0.496805,0.448391
28000,0.188501,0.199583,0.665975,0.631828,1.078176,1.125687,0.497824,0.449087
28100,0.188251,0.199430,0.665975,0.632289,1.076975,1.124863,0.498820,0.449770
28200,0.188005,0.199280,0.668050,0.632940,1.075792,1.124051,0.499796,0.450441
28300,0.187764,0.199133,0.670124,0.633633,1.074626,1.123250,0.500754,0.451100
28400,0.187525,0.198988,0.670124,0.634158,1.073474,1.122460,0.501699,0.451749
28500,0.187289,0.198845,0.670124,0.634892,1.072334,1.121681,0.502632,0.452386
28600,0.187055,0.198705,0.676349,0.635459,1.071203,1.120913,0.503557,0.453012
28700,0.186821,0.198567,0.676349,0.635606,1.070080,1.120159,0.504475,0.453625
28800,0.186589,0.198433,0.676349,0.636152,1.068962,1.119418,0.505390,0.454225
28900,0.186357,0.198302,0.676349,0.636509,1.067846,1.118691,0.506302,0.454811
29000,0.186124,0.198174,0.678423,0.636949,1.066731,1.117981,0.507215,0.455382
29100,0.185891,0.198050,0.680498,0.637705,1.065615,1.117288,0.508130,0.455936
29200,0.185656,0.197931,0.684647,0.638356,1.064495,1.116613,0.509047,0.456473
29300,0.185420,0.197815,0.688797,0.639196,1.063371,1.115957,0.509968,0.456993
29400,0.185183,0.197703,0.688797,0.640329,1.062241,1.115322,0.510894,0.457494
29500,0.184944,0.197597,0.690871,0.640644,1.061104,1.114708,0.511824,0.457977
29600,0.184703,0.197494,0.695021,0.640875,1.059959,1.114115,0.512759,0.458441
29700,0.184461,0.197396,0.692946,0.641505,1.058807,1.113542,0.513698,0.458888
29800,0.184217,0.197302,0.695021,0.641883,1.057647,1.112990,0.514640,0.459319
29900,0.183972,0.197211,0.692946,0.642029,1.056480,1.112457,0.515585,0.459735
30000,0.183726,0.197125,0.695021,0.642281,1.055306,1.111942,0.516531,0.460137
30100,0.183480,0.197041,0.695021,0.642218,1.054126,1.111443,0.517477,0.460527
30200,0.183234,0.196960,0.695021,0.641652,1.052942,1.110960,0.518421,0.460907
30300,0.182987,0.196881,0.690871,0.641400,1.051754,1.110489,0.519362,0.461280
30400,0.182741,0.196804,0.690871,0.641400,1.050563,1.110029,0.520300,0.461647
30500,0.182496,0.196727,0.686722,0.641652,1.049372,1.109578,0.521231,0.462011
30600,0.182252,0.196652,0.695021,0.641841,1.048180,1.109134,0.522156,0.462374
30700,0.182009,0.196577,0.695021,0.642680,1.046991,1.108696,0.523074,0.462736
30800,0.181768,0.196501,0.695021,0.643373,1.045804,1.108262,0.523983,0.463100
30900,0.181528,0.196426,0.697095,0.643793,1.044622,1.107831,0.524882,0.463467
31000,0.181291,0.196350,0.695021,0.644402,1.043444,1.107402,0.525773,0.463837
31100,0.181056,0.196272,0.699170,0.644800,1.042272,1.106974,0.526653,0.464211
31200,0.180823,0.196194,0.699170,0.645472,1.041108,1.106548,0.527523,0.464589
31300,0.180592,0.196116,0.701245,0.646144,1.039950,1.106122,0.528383,0.464972
31400,0.180364,0.196036,0.703320,0.646921,1.038801,1.105698,0.529232,0.465359
31500,0.180138,0.195955,0.703320,0.647844,1.037659,1.105276,0.530072,0.465750
31600,0.179914,0.195874,0.707469,0.648663,1.036527,1.104856,0.530902,0.466144
31700,0.179692,0.195792,0.707469,0.649607,1.035403,1.104439,0.531724,0.466540
31800,0.179472,0.195710,0.707469,0.650342,1.034287,1.104026,0.532537,0.466938
31900,0.179254,0.195627,0.705394,0.650993,1.033180,1.103618,0.533342,0.467337
32000,0.179037,0.195545,0.705394,0.651770,1.032081,1.103217,0.534141,0.467735
32100,0.178822,0.195463,0.705394,0.652609,1.030989,1.102824,0.534934,0.468132
